City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Lloro,CO,5.4961,-76.5495,72.81,96,93,1.12,overcast clouds
79,Puerto Colombia,CO,10.9878,-74.9547,78.89,81,4,27.51,clear sky
80,Mahebourg,MU,-20.4081,57.7,79.25,81,94,17.54,light rain
81,Cayenne,GF,4.9333,-52.3333,80.1,85,75,5.99,broken clouds
82,New Norfolk,AU,-42.7826,147.0587,69.71,43,75,2.68,broken clouds
83,Hobyo,SO,5.3505,48.5268,75.07,72,5,10.36,clear sky
84,Victoria,HK,22.2855,114.1577,61.25,81,95,1.01,overcast clouds
85,Lagoa,PT,39.05,-27.9833,58.64,73,9,16.49,clear sky
86,Flin Flon,CA,54.7682,-101.865,0.09,97,100,4.81,overcast clouds
87,Port Blair,IN,11.6667,92.75,77.04,94,40,2.3,mist
88,Walvis Bay,NA,-22.9575,14.5053,67.08,79,81,5.61,broken clouds
89,Punta Arenas,CL,-53.15,-70.9167,59.11,63,75,21.85,broken clouds
90,Bonthe,SL,7.5264,-12.505,76.12,86,42,4.5,scattered clouds
91,Ahar,IR,38.4774,47.0699,15.19,84,71,5.46,broken clouds
92,Airai,TL,-8.9266,125.4092,68.41,74,82,1.9,broken clouds
93,Powell River,CA,49.8496,-124.5361,47.08,91,100,1.83,overcast clouds
94,Hobart,AU,-42.8794,147.3294,69.06,56,40,6.91,scattered clouds
95,Kangaba,ML,11.9333,-8.4167,73.09,13,5,4.88,clear sky
96,Sajanan,TN,37.0573,9.2426,50.04,91,99,6.49,overcast clouds
97,Pevek,RU,69.7008,170.3133,-26.84,99,42,1.79,scattered clouds
98,Fortuna,US,40.5982,-124.1573,64.92,59,0,0.0,clear sky
99,Bluff,NZ,-46.6,168.3333,57.79,62,61,10.47,broken clouds
100,Deputatskiy,RU,69.3,139.9,-30.37,98,97,2.91,overcast clouds
101,Mar Del Plata,AR,-38.0023,-57.5575,63.09,76,99,4.0,overcast clouds
102,Sinnamary,GF,5.3833,-52.95,76.69,89,75,10.13,broken clouds
103,Barraute,CA,48.4335,-77.6328,-6.61,96,89,2.19,overcast clouds
104,Adrar,MR,20.5022,-10.0711,65.55,7,0,8.9,clear sky
105,Castro,BR,-24.7911,-50.0119,65.59,97,79,1.54,broken clouds
106,Coihaique,CL,-45.5752,-72.0662,62.55,59,0,0.0,clear sky
107,Tiarei,PF,-17.5333,-149.3333,86.02,75,12,20.51,light rain
108,Margate,GB,51.3813,1.3862,51.04,74,100,11.01,overcast clouds
109,Racalmas,HU,47.0226,18.9406,35.65,70,33,6.71,scattered clouds
110,Torbay,CA,47.6666,-52.7314,47.75,95,100,24.16,light rain
111,Bilma,NE,18.6853,12.9164,60.04,20,0,6.67,clear sky
112,Kodiak,US,57.79,-152.4072,38.71,93,100,17.27,light rain
113,Port Lincoln,AU,-34.7333,135.8667,77.38,49,90,17.02,overcast clouds
114,Marawi,PH,7.9986,124.2928,68.65,73,16,3.06,few clouds
115,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,82,94,12.26,overcast clouds
116,Sitka,US,57.0531,-135.33,42.69,75,100,29.93,moderate rain
117,Burnie,AU,-41.0667,145.9167,64.94,70,84,11.01,broken clouds
118,Chuy,UY,-33.6971,-53.4616,66.36,90,55,10.16,broken clouds
119,Riyadh,SA,24.6877,46.7219,52.25,37,0,8.46,clear sky
120,Beyneu,KZ,45.3167,55.2,29.89,87,100,21.25,light snow
