City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Steinbach,DE,42.64,clear sky,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
161,Xicotencatl,MX,60.71,few clouds,23.0167,-98.8833,Misioneros Vázquez Mireles
165,Grindavik,IS,27.07,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
173,Santa Cruz,BO,69.67,light rain,-17.8,-63.1667,Aviador Hotel Boutique
174,Coquimbo,CL,66.13,clear sky,-29.9533,-71.3436,Hostel Del Puerto
175,Shingu,JP,38.91,scattered clouds,33.7333,135.9833,Shingu UI Hotel
177,Aswan,EG,51.24,clear sky,24.0934,32.907,Nuba Nile
186,Naze,JP,50.43,overcast clouds,28.3667,129.4833,Shishime Hotel
187,Bethel,US,23.56,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
188,Katsuura,JP,41.18,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
189,Bronte,IT,48.72,overcast clouds,37.7895,14.8342,B&B Planet Rooms
190,Komsomolskiy,UZ,38.62,overcast clouds,40.4272,71.7189,Ikathouse
191,Lincoln,US,53.04,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
192,Naica,MX,56.86,clear sky,27.85,-105.4833,Departamentos Nicole
193,Plavinas,LV,33.8,overcast clouds,56.6178,25.7255,Route 68
197,Saint George,US,59.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
198,Russell,US,44.2,clear sky,32.3502,-85.1999,Macs
202,Yasnyy,RU,18.48,overcast clouds,51.0333,59.8742,Gostinitsa
203,Svetlogorsk,BY,31.03,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
204,Ribeira Grande,PT,59.72,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
205,Zlobin,HR,38.5,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
206,Superior,US,17.42,light snow,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
208,Carmelo,UY,65.16,scattered clouds,-33.9892,-58.2856,Los Muelles Boutique Hotel
209,Dunedin,NZ,53.8,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
211,Mugumu,TZ,60.75,overcast clouds,-1.85,34.7,Lemala Mara
212,Ketchikan,US,46.38,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
219,Middelburg,ZA,59.56,broken clouds,-25.7751,29.4648,Oregon Place Guest House
222,Portland,US,53.91,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
223,Bunol,ES,51.8,overcast clouds,39.4167,-0.7833,HOTEL CONDES DE BUÑOL
224,Arlit,NE,61.18,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
227,Klaksvik,FO,32.92,light snow,62.2266,-6.589,Airbnb rooms
